	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
TCGA-T2-A6X0	0.627897834355936	0.0875483101252658	0	0	0	0	0	0	0	0	0	0.107977934686881	0	0	0	0	0	0.0648453327559148	0	0.111730588076003	0	0	0	0	0	0	0	0	0	0
TCGA-CN-5364	0	0.123610807354674	0	0	0	0	0	0.134873395309239	0	0	0	0	0.0655036953403273	0	0	0.571461069053892	0	0	0.0621996087572301	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7090	0	0.252649234831978	0.325791858695195	0	0	0.305911498729797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0608405891278062	0	0	0
TCGA-CR-6473	0.214974182144074	0.208097036236716	0	0	0.083640187546493	0	0.0802018730353658	0	0	0	0	0	0.165979188785914	0	0	0.213976473332297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-5978	0	0.0616943131502858	0	0.202213917154092	0.277362212818136	0	0	0	0	0	0	0	0	0	0	0.103775238550552	0	0	0	0	0	0	0	0	0.0847839177221668	0	0	0	0.0704081322343175	0
TCGA-CQ-6225	0.140162625010693	0	0	0	0	0	0	0	0	0	0	0	0.122916912878033	0	0	0.666180757454128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-6992	0.147946781348413	0	0	0.308209018970965	0.161113427739806	0	0.0602907687799199	0	0	0	0	0	0.0648217497018082	0	0	0	0	0.0813019288159381	0	0	0	0	0	0	0.0760300967948764	0	0	0	0	0
TCGA-CV-7429	0.159207006474828	0	0	0	0	0	0.0810882964055066	0	0	0	0	0.132572705157385	0	0	0	0	0	0.25184266667724	0	0	0	0	0	0	0	0	0	0	0	0.232825343528448
TCGA-CQ-A4C9	0.188273406863707	0.136549712184089	0.25788550473284	0	0	0	0	0	0	0	0	0	0.151200781039254	0	0	0	0	0	0	0	0.0819455511243314	0	0	0	0	0	0.0621947612030286	0	0	0
TCGA-CV-7418	0	0	0.100639004027107	0	0	0	0	0	0	0	0	0	0.128077245833557	0	0.066287908892594	0.381198818222935	0	0.0993254213716117	0.109187900813913	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-5440	0	0.155429259504658	0	0	0	0	0	0	0	0	0	0	0.21127791680431	0	0	0.523022201443202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7245	0	0	0	0.278539319357989	0.446660405519396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0693909970162242	0	0	0	0	0
TCGA-UF-A7JA	0.0829002081385199	0.143080617400581	0	0	0	0	0	0	0	0	0	0	0.321112283217473	0	0	0.396553238187987	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7433	0.0961673101357086	0.146172210045419	0	0	0	0	0	0	0	0	0	0	0.237510354712265	0	0	0.494891399854333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-4P-AA8J	0	0	0	0	0	0	0	0	0	0	0	0	0.195045233717252	0	0	0.684918181498525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-6013	0.0920109051010245	0.534011472859244	0	0	0	0	0	0	0	0	0	0	0.156608792481524	0	0	0.0774592901166575	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0627063217195851
TCGA-P3-A5QF	0	0.558924272744649	0	0	0	0	0	0	0	0	0	0	0.370989101929752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7242	0	0	0	0.256303653953362	0.398352695254943	0	0	0	0	0	0	0	0	0	0	0.10994407303284	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BA-A6DE	0	0.177874012890816	0	0	0	0	0	0	0	0	0	0	0.139430264436364	0	0	0.497349298366637	0	0.125189040776	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CN-A6V1	0	0.657916202900292	0	0	0	0	0	0	0	0	0	0	0.271747717940672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-BA-A6DJ	0.180783232527851	0.242862995514425	0.15678831899631	0	0	0	0	0	0	0	0	0	0.309562065640963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CX-7086	0	0.161675114375966	0	0	0	0	0	0.069611741303536	0	0	0.126651305478822	0	0.185572139263139	0	0	0.379044762015423	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-T2-A6WX	0.127443066751207	0.396001009870007	0	0	0	0	0	0	0	0	0	0	0.368605944717744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-F7-A61W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-QK-A8Z8	0	0	0	0.374407226409851	0	0	0	0.0717339441029251	0	0	0	0	0	0	0	0.305890801684774	0	0	0	0	0	0	0	0	0.0618552837484868	0	0	0	0	0.0634717863833842
TCGA-CV-7099	0.0770620827686879	0.293359752547579	0	0	0	0	0	0	0	0	0	0	0.485716665411866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CR-7376	0.068728340089552	0.12853887319328	0	0	0	0	0	0	0	0	0	0	0.425141638463039	0	0.0793096503808414	0.146953486992811	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CR-7398	0	0.11646243934337	0	0.376539237811224	0.335208004092065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862682123824952	0	0	0	0	0
TCGA-CR-7389	0.0724434781776152	0	0	0	0.152503711397264	0	0	0	0	0	0.119124652145884	0	0	0	0	0.379592598111101	0	0	0	0	0.153673981555202	0.111720819494836	0	0	0	0	0	0	0	0
TCGA-CQ-5334	0.216770411322665	0.136113010091499	0	0	0	0	0	0	0	0	0	0	0.370655437637779	0	0	0.0948899189803731	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-A463	0.175620195180305	0.361570292433115	0	0	0	0	0	0	0	0	0	0	0.174348418900204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114666749485616
TCGA-BB-4227	0	0.201188370794694	0	0	0.132503477779222	0	0	0	0	0	0	0	0.621397052311835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
